timestamp,temp_internal_number,door,door2,door3,smoke,power_failure,flood,flood2,remote_temp,plant_voltage,generator,hydrogen
2018-09-04 17:20,68.4,1,1,,1,1,,,,-1.0,,
2018-09-04 17:21,68.4,1,1,,1,1,,,,-1.0,,
2018-09-04 17:22,68.3,1,1,,1,1,,,,-1.0,,
2018-09-04 17:23,67.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:24,67.7,1,1,,1,1,,,,-1.0,,
2018-09-04 17:25,67.3,1,1,,1,1,,,,-1.0,,
2018-09-04 17:26,66.8,1,1,,1,1,,,,-1.0,,
2018-09-04 17:27,66.7,1,1,,1,1,,,,-1.0,,
2018-09-04 17:28,66.8,1,1,,1,1,,,,-1.0,,
2018-09-04 17:29,66.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:30,66.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:31,66.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:32,67.0,1,1,,1,1,,,,-1.0,,
2018-09-04 17:33,67.0,1,1,,1,1,,,,-1.0,,
2018-09-04 17:34,67.2,1,1,,1,1,,,,-1.1,,
2018-09-04 17:35,67.2,1,1,,1,1,,,,-1.0,,
2018-09-04 17:36,67.4,1,1,,1,1,,,,-1.0,,
2018-09-04 17:37,67.4,1,1,,1,1,,,,-1.1,,
2018-09-04 17:38,67.6,1,1,,1,1,,,,-1.0,,
2018-09-04 17:39,67.7,1,1,,1,1,,,,-1.0,,
2018-09-04 17:40,67.8,1,1,,1,1,,,,-1.0,,
2018-09-04 17:41,67.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:53,67.1,1,1,,1,1,,,,-1.0,,
2018-09-04 17:54,66.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:55,66.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:56,66.9,1,1,,1,1,,,,-1.0,,
2018-09-04 17:57,67.0,1,1,,1,1,,,,-1.0,,
2018-09-04 17:58,67.0,1,1,,1,1,,,,-1.0,,
2018-09-04 17:59,67.1,1,1,,1,1,,,,-1.0,,
2018-09-04 18:00,67.2,1,1,,1,1,,,,-1.1,,
2018-09-04 18:01,67.2,1,1,,1,1,,,,-1.0,,
2018-09-04 18:02,67.3,1,1,,1,1,,,,-1.0,,
2018-09-04 18:03,67.5,1,1,,1,1,,,,-1.0,,
2018-09-04 18:04,67.6,1,1,,1,1,,,,-1.0,,
2018-09-04 18:05,67.7,1,1,,1,1,,,,-1.0,,
2018-09-04 18:06,67.8,1,1,,1,1,,,,-1.0,,
2018-09-04 18:07,67.9,1,1,,1,1,,,,-1.0,,
2018-09-04 18:08,68.0,1,1,,1,1,,,,-1.0,,
2018-09-04 18:09,68.1,1,1,,1,1,,,,-1.0,,
2018-09-04 18:10,68.2,1,1,,1,1,,,,-1.0,,
2018-09-04 18:11,68.3,1,1,,1,1,,,,-1.0,,
2018-09-04 18:12,68.4,1,1,,1,1,,,,-1.0,,
2018-09-04 18:13,68.2,1,1,,1,1,,,,-1.0,,
2018-09-04 18:14,68.0,1,1,,1,1,,,,-1.0,,
2018-09-04 18:15,67.7,1,1,,1,1,,,,-1.0,,
2018-09-04 18:16,67.4,1,1,,1,1,,,,-1.0,,
2018-09-04 18:17,67.1,1,1,,1,1,,,,-1.1,,
2018-09-04 18:18,67.0,1,1,,1,1,,,,-1.0,,
2018-09-04 18:19,67.0,1,1,,1,1,,,,-1.0,,
2018-09-04 18:20,67.0,1,1,,1,1,,,,-1.0,,
2018-09-04 18:21,67.1,1,1,,1,1,,,,-1.0,,
