timestamp,temp_internal_number,door,door2,door3,smoke,power_failure,flood,flood2,remote_temp,plant_voltage,generator,hydrogen
2018-09-04 17:20,64.8,,,,1,1,,,,-54.6,,
2018-09-04 17:21,64.7,,,,1,1,,,,-54.8,,
2018-09-04 17:22,64.5,,,,1,1,,,,-54.6,,
2018-09-04 17:23,64.5,,,,1,1,,,,-54.6,,
2018-09-04 17:24,64.4,,,,1,1,,,,-54.6,,
2018-09-04 17:25,64.4,,,,1,1,,,,-54.6,,
2018-09-04 17:26,64.2,,,,1,1,,,,-54.6,,
2018-09-04 17:27,64.2,,,,1,1,,,,-54.6,,
2018-09-04 17:28,64.1,,,,1,1,,,,-54.6,,
2018-09-04 17:29,64.0,,,,1,1,,,,-54.7,,
2018-09-04 17:30,63.9,,,,1,1,,,,-54.6,,
2018-09-04 17:31,63.8,,,,1,1,,,,-54.7,,
2018-09-04 17:32,63.8,,,,1,1,,,,-54.8,,
2018-09-04 17:33,63.7,,,,1,1,,,,-54.7,,
2018-09-04 17:34,63.6,,,,1,1,,,,-54.6,,
2018-09-04 17:35,63.6,,,,1,1,,,,-54.6,,
2018-09-04 17:36,63.6,,,,1,1,,,,-54.5,,
2018-09-04 17:37,63.8,,,,1,1,,,,-54.8,,
2018-09-04 17:38,63.9,,,,1,1,,,,-54.6,,
2018-09-04 17:39,64.2,,,,1,1,,,,-54.6,,
2018-09-04 17:40,64.4,,,,1,1,,,,-54.6,,
2018-09-04 17:41,64.7,,,,1,1,,,,-54.6,,
2018-09-04 17:53,65.4,,,,1,1,,,,-54.6,,
2018-09-04 17:54,65.2,,,,1,1,,,,-54.8,,
2018-09-04 17:55,65.2,,,,1,1,,,,-54.6,,
2018-09-04 17:56,65.0,,,,1,1,,,,-54.6,,
2018-09-04 17:57,64.9,,,,1,1,,,,-54.7,,
2018-09-04 17:58,64.8,,,,1,1,,,,-54.4,,
2018-09-04 17:59,64.7,,,,1,1,,,,-54.6,,
2018-09-04 18:00,64.5,,,,1,1,,,,-54.6,,
2018-09-04 18:01,64.5,,,,1,1,,,,-54.7,,
2018-09-04 18:02,64.4,,,,1,1,,,,-54.6,,
2018-09-04 18:03,64.3,,,,1,1,,,,-54.4,,
2018-09-04 18:04,64.2,,,,1,1,,,,-54.6,,
2018-09-04 18:05,64.0,,,,1,1,,,,-54.6,,
2018-09-04 18:06,64.0,,,,1,1,,,,-54.6,,
2018-09-04 18:07,63.9,,,,1,1,,,,-54.6,,
2018-09-04 18:08,63.8,,,,1,1,,,,-54.6,,
2018-09-04 18:09,63.7,,,,1,1,,,,-54.7,,
2018-09-04 18:10,63.6,,,,1,1,,,,-54.8,,
2018-09-04 18:11,63.7,,,,1,1,,,,-54.6,,
2018-09-04 18:12,63.8,,,,1,1,,,,-54.6,,
2018-09-04 18:13,64.0,,,,1,1,,,,-54.6,,
2018-09-04 18:14,64.2,,,,1,1,,,,-54.6,,
2018-09-04 18:15,64.4,,,,1,1,,,,-54.6,,
2018-09-04 18:16,64.7,,,,1,1,,,,-54.6,,
2018-09-04 18:17,65.0,,,,1,1,,,,-54.6,,
2018-09-04 18:18,65.3,,,,1,1,,,,-54.7,,
2018-09-04 18:19,65.6,,,,1,1,,,,-54.6,,
2018-09-04 18:20,65.8,,,,1,1,,,,-54.7,,
2018-09-04 18:21,65.9,,,,1,1,,,,-54.6,,
2018-09-04 18:22,65.9,,,,1,1,,,,-54.6,,
2018-09-04 18:23,65.9,,,,1,1,,,,-54.7,,
2018-09-04 18:24,65.8,,,,1,1,,,,-54.8,,
2018-09-04 18:25,65.8,,,,1,1,,,,-54.6,,
2018-09-04 18:26,65.7,,,,1,1,,,,-54.6,,
2018-09-04 18:27,65.6,,,,1,1,,,,-54.6,,
2018-09-04 18:28,65.5,,,,1,1,,,,-54.7,,
2018-09-04 18:29,65.3,,,,1,1,,,,-54.6,,
2018-09-04 18:30,65.2,,,,1,1,,,,-54.6,,
2018-09-04 18:31,65.0,,,,1,1,,,,-54.6,,
2018-09-04 18:32,65.0,,,,1,1,,,,-54.6,,
2018-09-04 18:33,64.9,,,,1,1,,,,-54.6,,
2018-09-04 18:34,64.8,,,,1,1,,,,-54.7,,
2018-09-04 18:35,64.7,,,,1,1,,,,-54.6,,
2018-09-04 18:36,64.6,,,,1,1,,,,-54.6,,
2018-09-04 18:37,64.5,,,,1,1,,,,-54.6,,
2018-09-04 18:38,64.3,,,,1,1,,,,-54.5,,
2018-09-04 18:39,64.3,,,,1,1,,,,-54.7,,
2018-09-04 18:40,64.2,,,,1,1,,,,-54.6,,
2018-09-04 18:41,64.0,,,,1,1,,,,-54.6,,
2018-09-04 18:42,64.0,,,,1,1,,,,-54.6,,
2018-09-04 18:43,63.9,,,,1,1,,,,-54.6,,
2018-09-04 18:44,63.8,,,,1,1,,,,-54.6,,
2018-09-04 18:45,63.8,,,,1,1,,,,-54.7,,
2018-09-04 18:46,63.9,,,,1,1,,,,-54.6,,
2018-09-04 18:47,64.0,,,,1,1,,,,-54.8,,
2018-09-04 18:48,64.2,,,,1,1,,,,-54.6,,
2018-09-04 18:49,64.5,,,,1,1,,,,-54.6,,
2018-09-04 18:50,64.7,,,,1,1,,,,-54.6,,
2018-09-04 18:51,65.0,,,,1,1,,,,-54.6,,
2018-09-04 18:52,65.3,,,,1,1,,,,-54.7,,
2018-09-04 18:53,65.6,,,,1,1,,,,-54.8,,
2018-09-04 18:54,65.8,,,,1,1,,,,-54.6,,
2018-09-04 18:55,65.9,,,,1,1,,,,-54.6,,
2018-09-04 18:56,65.9,,,,1,1,,,,-54.6,,
2018-09-04 18:57,65.9,,,,1,1,,,,-54.6,,
2018-09-04 18:58,65.8,,,,1,1,,,,-54.6,,
