timestamp,temp_internal_number,door,door2,door3,smoke,power_failure,flood,flood2,remote_temp,plant_voltage,generator,hydrogen
09-01-18 00:03,68.4,,,,,,,,,-54.7,,
09-01-18 00:04,68.6,,,,,,,,,-54.6,,
09-01-18 00:05,68.4,,,,,,,,,-54.8,,
09-01-18 00:06,68.5,,,,,,,,,-54.8,,
09-01-18 00:07,68.3,,,,,,,,,-54.6,,
09-01-18 00:08,68.2,,,,,,,,,-54.8,,
09-01-18 00:09,68.0,,,,,,,,,-54.7,,
09-01-18 00:10,68.0,,,,,,,,,-54.6,,
09-01-18 00:11,68.0,,,,,,,,,-54.7,,
09-01-18 00:12,67.6,,,,,,,,,-54.8,,
09-01-18 00:13,67.8,,,,,,,,,-54.7,,
09-01-18 00:14,67.6,,,,,,,,,-54.6,,
09-01-18 00:15,67.9,,,,,,,,,-54.6,,
09-01-18 00:16,67.5,,,,,,,,,-54.7,,
09-01-18 00:17,67.4,,,,,,,,,-54.7,,
09-01-18 00:18,67.3,,,,,,,,,-54.6,,
09-01-18 00:19,67.2,,,,,,,,,-54.8,,
09-01-18 00:20,67.4,,,,,,,,,-54.6,,
09-01-18 00:21,67.8,,,,,,,,,-54.6,,
09-01-18 00:22,67.9,,,,,,,,,-54.6,,
09-01-18 00:23,68.2,,,,,,,,,-54.6,,
09-01-18 00:24,68.4,,,,,,,,,-54.6,,
09-01-18 00:25,68.7,,,,,,,,,-54.7,,
09-01-18 00:26,68.7,,,,,,,,,-54.7,,
09-01-18 00:27,68.7,,,,,,,,,-54.6,,
09-01-18 00:28,68.8,,,,,,,,,-54.6,,
09-01-18 00:29,69.0,,,,,,,,,-54.6,,
09-01-18 00:30,69.2,,,,,,,,,-54.5,,
09-01-18 00:31,69.3,,,,,,,,,-54.8,,
09-01-18 00:32,69.4,,,,,,,,,-54.6,,
09-01-18 00:33,69.6,,,,,,,,,-54.7,,
09-01-18 00:34,69.5,,,,,,,,,-54.6,,
09-01-18 00:35,69.5,,,,,,,,,-54.7,,
09-01-18 00:36,69.7,,,,,,,,,-54.6,,
09-01-18 00:37,70.0,,,,,,,,,-54.6,,
09-01-18 00:38,69.7,,,,,,,,,-54.6,,
09-01-18 00:39,69.5,,,,,,,,,-54.6,,
09-01-18 00:40,69.0,,,,,,,,,-54.7,,
09-01-18 00:41,68.9,,,,,,,,,-54.9,,
09-01-18 00:42,68.7,,,,,,,,,-54.6,,
09-01-18 00:43,68.6,,,,,,,,,-54.6,,
09-01-18 00:44,68.6,,,,,,,,,-54.6,,
09-01-18 00:45,68.5,,,,,,,,,-54.8,,
09-01-18 00:46,68.2,,,,,,,,,-54.7,,
09-01-18 00:47,68.0,,,,,,,,,-54.6,,
09-01-18 00:48,67.9,,,,,,,,,-54.6,,
09-01-18 00:49,67.9,,,,,,,,,-54.6,,
09-01-18 00:50,67.8,,,,,,,,,-54.8,,
09-01-18 00:51,67.3,,,,,,,,,-54.6,,
09-01-18 00:52,67.1,,,,,,,,,-54.7,,
09-01-18 00:53,67.1,,,,,,,,,-54.6,,
09-01-18 00:54,67.2,,,,,,,,,-54.6,,
09-01-18 00:55,67.2,,,,,,,,,-54.8,,
09-01-18 00:56,67.4,,,,,,,,,-54.6,,
09-01-18 00:57,67.7,,,,,,,,,-54.6,,
09-01-18 00:58,67.8,,,,,,,,,-54.8,,
09-01-18 00:59,68.1,,,,,,,,,-54.8,,
09-01-18 01:00,68.3,,,,,,,,,-54.7,,
09-01-18 01:01,68.4,,,,,,,,,-54.8,,
09-01-18 01:02,68.5,,,,,,,,,-54.6,,
09-01-18 01:03,68.5,,,,,,,,,-54.6,,
09-01-18 08:44,69.1,,,,,,,,,-54.6,,
09-01-18 08:45,68.7,,,,,,,,,-54.8,,
09-01-18 08:46,68.2,,,,,,,,,-54.7,,
09-01-18 08:47,68.3,,,,,,,,,-54.7,,
09-01-18 08:48,68.3,,,,,,,,,-54.7,,
09-01-18 08:49,68.2,,,,,,,,,-54.8,,
09-01-18 08:50,67.9,,,,,,,,,-54.8,,
09-01-18 08:51,67.4,,,,,,,,,-54.6,,
09-01-18 08:52,67.3,,,,,,,,,-54.8,,
09-01-18 08:53,67.1,,,,,,,,,-54.6,,
09-01-18 08:54,66.9,,,,,,,,,-54.6,,
09-01-18 08:55,67.2,,,,,,,,,-54.6,,
09-01-18 08:56,67.0,,,,,,,,,-54.6,,
09-01-18 08:57,67.2,,,,,,,,,-54.6,,
09-01-18 08:58,67.5,,,,,,,,,-54.7,,
09-01-18 08:59,67.7,,,,,,,,,-54.5,,
09-01-18 09:00,67.9,,,,,,,,,-54.6,,
09-01-18 09:01,68.0,,,,,,,,,-54.7,,
09-01-18 09:02,68.1,,,,,,,,,-54.6,,
09-01-18 09:03,68.3,,,,,,,,,-54.6,,
09-01-18 09:04,68.7,,,,,,,,,-54.6,,
09-01-18 09:05,68.7,,,,,,,,,-54.6,,
09-01-18 09:06,68.7,,,,,,,,,-54.6,,
09-01-18 09:07,69.1,,,,,,,,,-54.6,,
09-01-18 09:08,69.2,,,,,,,,,-54.6,,
09-01-18 09:09,69.2,,,,,,,,,-54.6,,
09-01-18 09:10,69.3,,,,,,,,,-54.6,,
09-01-18 09:11,69.5,,,,,,,,,-54.6,,
09-01-18 09:12,69.5,,,,,,,,,-54.7,,
09-01-18 09:13,69.7,,,,,,,,,-54.6,,
09-01-18 09:14,69.8,,,,,,,,,-54.8,,
09-01-18 09:15,69.9,,,,,,,,,-54.7,,
09-01-18 09:16,69.8,,,,,,,,,-54.6,,
09-01-18 09:17,69.7,,,,,,,,,-54.6,,
09-01-18 09:18,69.1,,,,,,,,,-54.6,,
09-01-18 09:19,69.0,,,,,,,,,-54.7,,
09-01-18 09:20,68.7,,,,,,,,,-54.6,,
09-01-18 09:21,68.9,,,,,,,,,-54.7,,
09-01-18 09:22,68.5,,,,,,,,,-54.6,,
09-01-18 09:23,68.6,,,,,,,,,-54.5,,
09-01-18 09:24,68.5,,,,,,,,,-54.6,,
09-01-18 09:25,68.7,,,,,,,,,-54.7,,
09-01-18 09:26,68.4,,,,,,,,,-54.6,,
09-01-18 09:27,68.4,,,,,,,,,-54.6,,
09-01-18 09:28,68.3,,,,,,,,,-54.6,,
09-01-18 09:29,68.2,,,,,,,,,-54.6,,
09-01-18 09:30,68.0,,,,,,,,,-54.6,,
09-01-18 09:31,67.7,,,,,,,,,-54.6,,
09-01-18 09:32,67.8,,,,,,,,,-54.8,,
09-01-18 09:33,67.9,,,,,,,,,-54.6,,
09-01-18 09:34,67.7,,,,,,,,,-54.6,,
09-01-18 09:35,67.9,,,,,,,,,-54.6,,
09-01-18 09:36,67.7,,,,,,,,,-54.6,,
09-01-18 09:37,67.7,,,,,,,,,-54.7,,
09-01-18 09:38,67.8,,,,,,,,,-54.7,,
09-01-18 09:39,67.6,,,,,,,,,-54.6,,
09-01-18 09:40,67.7,,,,,,,,,-54.6,,
09-01-18 09:41,67.5,,,,,,,,,-54.6,,
09-01-18 09:42,67.2,,,,,,,,,-54.6,,
09-01-18 09:43,67.3,,,,,,,,,-54.7,,
09-01-18 09:44,67.5,,,,,,,,,-54.6,,
09-01-18 09:45,67.2,,,,,,,,,-54.6,,
09-01-18 09:46,67.4,,,,,,,,,-54.7,,
09-01-18 09:47,67.3,,,,,,,,,-54.7,,
09-01-18 09:48,67.6,,,,,,,,,-54.7,,
09-01-18 09:49,68.0,,,,,,,,,-54.5,,
09-01-18 09:50,68.2,,,,,,,,,-54.7,,
09-01-18 09:51,68.4,,,,,,,,,-54.6,,
09-01-18 09:52,68.7,,,,,,,,,-54.6,,
09-01-18 09:53,68.9,,,,,,,,,-54.7,,
09-01-18 09:54,69.1,,,,,,,,,-54.7,,
09-01-18 09:55,69.4,,,,,,,,,-54.7,,
09-01-18 09:56,69.5,,,,,,,,,-54.9,,
09-01-18 09:57,69.7,,,,,,,,,-54.6,,
09-01-18 09:58,69.7,,,,,,,,,-54.6,,
09-01-18 09:59,69.3,,,,,,,,,-54.6,,
09-01-18 10:00,69.4,,,,,,,,,-54.8,,
09-01-18 10:01,69.3,,,,,,,,,-54.7,,
09-01-18 10:02,69.1,,,,,,,,,-54.6,,
09-01-18 10:03,68.9,,,,,,,,,-54.7,,
09-01-18 10:04,68.8,,,,,,,,,-54.6,,
09-01-18 10:05,69.0,,,,,,,,,-54.6,,
09-01-18 10:06,68.8,,,,,,,,,-54.8,,
09-01-18 10:07,68.7,,,,,,,,,-54.6,,
09-01-18 10:08,68.7,,,,,,,,,-54.6,,
09-01-18 10:09,68.7,,,,,,,,,-54.7,,
09-01-18 10:10,68.6,,,,,,,,,-54.6,,
09-01-18 10:11,68.6,,,,,,,,,-54.9,,
09-01-18 10:12,68.4,,,,,,,,,-54.7,,
09-01-18 10:13,68.5,,,,,,,,,-54.6,,
09-01-18 10:14,68.7,,,,,,,,,-54.7,,
09-01-18 10:15,68.3,,,,,,,,,-54.8,,
