timestamp,temp_internal_number,door,door2,door3,smoke,power_failure,flood,flood2,remote_temp,plant_voltage,generator,hydrogen
09-01-18 00:03,71.9,,,,1,1,1,,,-54.9,,
09-01-18 00:04,72.0,,,,1,1,1,,,-54.9,,
09-01-18 00:05,72.1,,,,1,1,1,,,-54.9,,
09-01-18 00:06,72.2,,,,1,1,1,,,-54.9,,
09-01-18 00:07,71.1,,,,1,1,1,,,-54.9,,
09-01-18 00:08,70.0,,,,1,1,1,,,-55.1,,
09-01-18 00:09,70.4,,,,1,1,1,,,-55.1,,
09-01-18 00:10,70.8,,,,1,1,1,,,-54.9,,
09-01-18 00:11,71.1,,,,1,1,1,,,-54.9,,
09-01-18 00:12,71.4,,,,1,1,1,,,-55.1,,
09-01-18 00:13,71.5,,,,1,1,1,,,-54.9,,
09-01-18 00:14,71.5,,,,1,1,1,,,-55.1,,
09-01-18 00:15,71.7,,,,1,1,1,,,-54.9,,
09-01-18 00:16,71.8,,,,1,1,1,,,-55.1,,
09-01-18 00:17,71.8,,,,1,1,1,,,-54.9,,
09-01-18 00:18,71.9,,,,1,1,1,,,-55.1,,
09-01-18 00:19,72.0,,,,1,1,1,,,-54.9,,
09-01-18 00:20,72.1,,,,1,1,1,,,-55.1,,
09-01-18 00:21,72.1,,,,1,1,1,,,-54.9,,
09-01-18 00:22,72.0,,,,1,1,1,,,-55.1,,
09-01-18 00:23,71.8,,,,1,1,1,,,-55.1,,
09-01-18 00:24,71.7,,,,1,1,1,,,-54.9,,
09-01-18 00:25,71.4,,,,1,1,1,,,-55.1,,
09-01-18 00:26,71.2,,,,1,1,1,,,-54.9,,
09-01-18 00:27,70.9,,,,1,1,1,,,-54.9,,
09-01-18 00:28,70.8,,,,1,1,1,,,-55.1,,
09-01-18 00:29,70.8,,,,1,1,1,,,-55.1,,
09-01-18 00:30,70.9,,,,1,1,1,,,-54.9,,
09-01-18 00:31,71.0,,,,1,1,1,,,-55.1,,
09-01-18 00:32,71.1,,,,1,1,1,,,-54.9,,
09-01-18 00:33,71.3,,,,1,1,1,,,-54.9,,
09-01-18 00:34,71.3,,,,1,1,1,,,-54.9,,
09-01-18 00:35,71.5,,,,1,1,1,,,-55.1,,
09-01-18 00:36,71.5,,,,1,1,1,,,-54.9,,
09-01-18 00:37,71.6,,,,1,1,1,,,-54.9,,
09-01-18 00:38,71.7,,,,1,1,1,,,-55.1,,
09-01-18 00:39,71.8,,,,1,1,1,,,-54.9,,
09-01-18 00:40,71.9,,,,1,1,1,,,-54.9,,
09-01-18 00:41,72.0,,,,1,1,1,,,-55.1,,
09-01-18 00:42,72.1,,,,1,1,1,,,-55.1,,
09-01-18 00:43,72.2,,,,1,1,1,,,-54.9,,
09-01-18 00:44,71.1,,,,1,1,1,,,-54.9,,
09-01-18 00:45,70.0,,,,1,1,1,,,-54.9,,
09-01-18 00:46,69.8,,,,1,1,1,,,-55.1,,
09-01-18 00:47,70.5,,,,1,1,1,,,-55.0,,
09-01-18 00:48,70.8,,,,1,1,1,,,-55.1,,
09-01-18 00:49,71.1,,,,1,1,1,,,-55.1,,
09-01-18 00:50,71.2,,,,1,1,1,,,-55.1,,
09-01-18 00:51,71.3,,,,1,1,1,,,-54.9,,
09-01-18 00:52,71.4,,,,1,1,1,,,-54.9,,
09-01-18 00:53,71.6,,,,1,1,1,,,-54.9,,
09-01-18 00:54,71.7,,,,1,1,1,,,-55.1,,
09-01-18 00:55,71.7,,,,1,1,1,,,-55.1,,
09-01-18 00:56,71.8,,,,1,1,1,,,-54.9,,
09-01-18 00:57,71.9,,,,1,1,1,,,-54.9,,
09-01-18 00:58,72.0,,,,1,1,1,,,-55.0,,
09-01-18 00:59,72.0,,,,1,1,1,,,-55.1,,
