timestamp,temp_internal_number,door,door2,door3,smoke,power_failure,flood,flood2,remote_temp,plant_voltage,generator,hydrogen
09-01-18 00:03,65.2,0,,,1,1,,,,-54.7,,
09-01-18 00:04,64.7,0,,,1,1,,,,-54.7,,
09-01-18 00:05,65.1,0,,,1,1,,,,-54.9,,
09-01-18 00:06,65.3,0,,,1,1,,,,-54.8,,
09-01-18 00:07,65.5,0,,,1,1,,,,-54.7,,
09-01-18 00:08,65.7,0,,,1,1,,,,-54.8,,
09-01-18 00:09,65.9,0,,,1,1,,,,-54.7,,
09-01-18 00:10,66.0,0,,,1,1,,,,-54.7,,
09-01-18 00:11,66.2,0,,,1,1,,,,-54.9,,
09-01-18 00:12,66.3,0,,,1,1,,,,-54.7,,
09-01-18 00:13,66.5,0,,,1,1,,,,-54.8,,
09-01-18 00:14,66.0,0,,,1,1,,,,-54.7,,
09-01-18 00:15,64.8,0,,,1,1,,,,-54.7,,
09-01-18 00:16,64.9,0,,,1,1,,,,-54.7,,
09-01-18 00:17,65.2,0,,,1,1,,,,-54.7,,
09-01-18 00:18,65.4,0,,,1,1,,,,-54.7,,
09-01-18 00:19,65.6,0,,,1,1,,,,-54.7,,
09-01-18 00:20,65.8,0,,,1,1,,,,-54.7,,
09-01-18 00:21,66.0,0,,,1,1,,,,-54.7,,
09-01-18 00:22,66.1,0,,,1,1,,,,-54.7,,
09-01-18 00:23,66.2,0,,,1,1,,,,-54.7,,
09-01-18 00:24,66.4,0,,,1,1,,,,-54.8,,
09-01-18 00:25,66.5,0,,,1,1,,,,-54.9,,
09-01-18 00:26,66.0,0,,,1,1,,,,-54.8,,
09-01-18 00:27,65.1,0,,,1,1,,,,-54.7,,
09-01-18 00:28,65.1,0,,,1,1,,,,-54.8,,
09-01-18 00:29,65.1,0,,,1,1,,,,-54.9,,
09-01-18 00:30,65.4,0,,,1,1,,,,-54.8,,
09-01-18 00:31,65.6,0,,,1,1,,,,-54.7,,
09-01-18 00:32,65.8,0,,,1,1,,,,-54.9,,
09-01-18 00:33,66.0,0,,,1,1,,,,-54.7,,
09-01-18 00:34,66.1,0,,,1,1,,,,-54.8,,
09-01-18 00:35,66.3,0,,,1,1,,,,-54.7,,
09-01-18 00:36,66.4,0,,,1,1,,,,-54.9,,
09-01-18 00:37,66.4,0,,,1,1,,,,-54.7,,
09-01-18 00:38,65.5,0,,,1,1,,,,-54.6,,
09-01-18 00:39,64.5,0,,,1,1,,,,-54.8,,
09-01-18 00:40,64.9,0,,,1,1,,,,-54.8,,
09-01-18 00:41,65.1,0,,,1,1,,,,-54.8,,
09-01-18 00:42,65.3,0,,,1,1,,,,-54.7,,
09-01-18 00:43,65.5,0,,,1,1,,,,-54.8,,
09-01-18 00:44,65.6,0,,,1,1,,,,-54.9,,
09-01-18 00:45,65.8,0,,,1,1,,,,-54.8,,
09-01-18 00:46,66.0,0,,,1,1,,,,-54.7,,
09-01-18 00:47,66.1,0,,,1,1,,,,-54.7,,
09-01-18 00:48,66.3,0,,,1,1,,,,-54.7,,
09-01-18 00:49,66.4,0,,,1,1,,,,-54.9,,
09-01-18 00:50,66.4,0,,,1,1,,,,-54.8,,
09-01-18 00:51,65.4,0,,,1,1,,,,-54.7,,
09-01-18 00:52,64.8,0,,,1,1,,,,-54.7,,
09-01-18 00:53,65.2,0,,,1,1,,,,-54.9,,
09-01-18 00:54,65.3,0,,,1,1,,,,-54.8,,
09-01-18 00:55,65.5,0,,,1,1,,,,-54.8,,
09-01-18 00:56,65.6,0,,,1,1,,,,-54.8,,
09-01-18 00:57,65.8,0,,,1,1,,,,-54.8,,
09-01-18 00:58,66.0,0,,,1,1,,,,-54.7,,
09-01-18 00:59,66.1,0,,,1,1,,,,-54.8,,
09-01-18 01:00,66.3,0,,,1,1,,,,-54.8,,
09-01-18 01:01,66.4,0,,,1,1,,,,-54.7,,
09-01-18 01:02,66.5,0,,,1,1,,,,-54.8,,
09-01-18 01:03,65.9,0,,,1,1,,,,-54.7,,
09-01-18 08:44,64.5,0,,,1,1,,,,-54.9,,
09-01-18 08:45,64.8,0,,,1,1,,,,-54.7,,
09-01-18 08:46,65.0,0,,,1,1,,,,-54.7,,
09-01-18 08:47,65.1,0,,,1,1,,,,-54.8,,
09-01-18 08:48,65.2,0,,,1,1,,,,-54.7,,
09-01-18 08:49,65.3,0,,,1,1,,,,-54.9,,
09-01-18 08:50,65.4,0,,,1,1,,,,-54.8,,
